Key,Id,English(en),Japanese(ja)
"l",76668739594,"L","L"
"m",76668739595,"M","M"
"n",76668739596,"N","N"
"o",76668739597,"O","O"
"p",76668739598,"P","P"
"q",76668739599,"Q","Q"
"r",76668739600,"R","R"
"s",76668739601,"S","S"
"t",76668739602,"T","T"
"u",76668739603,"U","U"
"v",76668739604,"V","V"
"w",76668739605,"W","W"
"x",76668739606,"X","X"
"y",76668739607,"Y","Y"
"z",76668739608,"Z","Z"
"1",76668739609,"1","1"
"2",76668739610,"2","2"
"3",76668739611,"3","3"
"4",76672933888,"4","4"
"5",76672933889,"5","5"
"6",76672933890,"6","6"
"7",76672933891,"7","7"
"8",76672933892,"8","8"
"9",76672933893,"9","9"
"0",76672933894,"0","0"
"space",76672933895,"Space","Space"
"enter",76672933896,"Enter","Enter"
"escape",76672933897,"Escape","Esc"
"tab",76672933898,"Tab","Tab"
"backspace",76672933899,"Backspace","Backspace"
"leftShift",76672933900,"Left Shift","Left Shift"
"rightShift",76672933901,"Right Shift","Right Shift"
"leftCtrl",76672933902,"Left Ctrl","Left Ctrl"
"rightCtrl",76672933903,"Right Ctrl","Right Ctrl"
"leftAlt",76672933904,"Left Alt","Left Alt"
"rightAlt",76672933905,"Right Alt","Right Alt"
"upArrow",76672933906,"Up Arrow","↑"
"downArrow",76672933907,"Down Arrow","↓"
"leftArrow",76672933908,"Left Arrow","←"
"rightArrow",76672933909,"Right Arrow","→"
"backquote",76672933910,"`","｀"
"minus",76672933911,"-","-"
"equals",76672933912,"=","="
"leftBracket",76672933913,"[","["
"rightBracket",76672933914,"]","]"
"semicolon",76672933915,";",";"
"quote",76672933916,"'","'"
"backslash",76672933917,"\","\"
"comma",76672933918,",","，"
"period",76672933919,".","．"
"slash",76672933920,"/","/"
"home",76672933921,"Home","Home"
"end",76672933922,"End","End"
"insert",76672933923,"Insert","Insert"
"delete",76672933924,"Delete","Delete"
"pageUp",76672933925,"Page Up","PageUp"
"pageDown",76672933926,"Page Down","PageDown"
"capsLock",76672933927,"Caps Lock","CapsLock"
"f1",76672933928,"F1","F1"
"f2",76672933929,"F2","F2"
"f3",76672933930,"F3","F3"
"f4",76672933931,"F4","F4"
"f5",76672933932,"F5","F5"
"f6",76672933933,"F6","F6"
"f7",76672933934,"F7","F7"
"f8",76672933935,"F8","F8"
"f9",76672933936,"F9","F9"
"f10",76672933937,"F10","F10"
"f11",76672933938,"F11","F11"
"f12",76672933939,"F12","F12"
"numpad0",76672933940,"Numpad 0","テンキー0"
"numpad1",76672933941,"Numpad 1","テンキー1"
"numpad2",76672933942,"Numpad 2","テンキー2"
"numpad3",76672933943,"Numpad 3","テンキー3"
"numpad4",76672933944,"Numpad 4","テンキー4"
"numpad5",76672933945,"Numpad 5","テンキー5"
"numpad6",76672933946,"Numpad 6","テンキー6"
"numpad7",76672933947,"Numpad 7","テンキー7"
"numpad8",76672933948,"Numpad 8","テンキー8"
"numpad9",76672933949,"Numpad 9","テンキー9"
"numpadEnter",76672933950,"Numpad Enter","テンキーEnter"
"numpadPlus",76672933951,"Numpad +","テンキー+"
"numpadMinus",76672933952,"Numpad -","テンキー-"
"numpadMultiply",76672933953,"Numpad *","テンキー*"
"numpadDivide",76672933954,"Numpad /","テンキー/"
"numpadPeriod",76672933955,"Numpad .","テンキー."
"leftButton",76672933956,"Left Click","左クリック"
"rightButton",76672933957,"Right Click","右クリック"
"middleButton",76672933958,"Middle Click","中クリック"
"forwardButton",76672933959,"Forward","進む"
"backButton",76672933960,"Back","戻る"
"buttonSouth",76672933961,"A","Aボタン"
"buttonEast",76672933962,"B","Bボタン"
"buttonWest",76672933963,"X","Xボタン"
"buttonNorth",76672933964,"Y","Yボタン"
"dpad/up",76672933965,"D-Pad Up","十字キー↑"
"dpad/down",76672933966,"D-Pad Down","十字キー↓"
"dpad/left",76672933967,"D-Pad Left","十字キー←"
"dpad/right",76672933968,"D-Pad Right","十字キー→"
"leftStick",76672933969,"Left Stick","左スティック"
"rightStick",76672933970,"Right Stick","右スティック"
"leftStickPress",76672933971,"Left Stick Press","左スティック押込"
"rightStickPress",76672933972,"Right Stick Press","右スティック押込"
"leftShoulder",76672933973,"Left Shoulder","Lボタン"
"rightShoulder",76672933974,"Right Shoulder","Rボタン"
"leftTrigger",76672933975,"Left Trigger","LT"
"rightTrigger",76672933976,"Right Trigger","RT"
"start",76672933977,"Start","Start"
"select",76672933978,"Select","Select"
"delta",147288283422720,"Mouse XY 2D-Axis","マウス XY 2D軸"
